"BehaviorSpace results (NetLogo 6.2.0)"
"EvolvingGamePlayers.nlogo"
"experiment-Amadae-EmptyMemory-XY"
"08/02/2021 19:22:50:088 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","22","-1","22"
"[run number]","Game","Rounds","Population-Size","Perc-Group2","Opponents-Include-Own-Group?","Playing-Strategy","Initial-Populations","Initial-X","Initial-Y","Memory-Initialization","Memory-Initial-Weight-1","Memory-Initial-Weight-2","Memory-Length-1","Memory-Length-2","Unlimited-Memory?","Playing-Noise","Replicate?","Replication-Noise","Speed-1","Speed-2","Delta","Value","Value-As-Perc-Of-Cost","Punishment","Reward","Sucker","Temptation","k","My-Preference","Your-Preference","Draw-X-And-Y-Axes?","Reposition-Populations","Population-Pen-Down?","Recolor-Populations?","Calculate-Dominance?","Print-Out-Match-Results?","Seed-Setup","Seed-Go","[step]","timer","prev-seed-setup","prev-seed-go","count populations","num-pops-g1-dominant","num-pops-g2-dominant","num-pops-none-dominant","num-pops-g1-hawkish","num-pops-g2-hawkish","num-pops-none-hawkish","num-pops-with-group1-dom","num-pops-with-group2-dom","num-pops-with-groups-equal","Cost","msne","msne-payoff","group1-payoff","group2-payoff"
"48","Hawk-Dove","2000","200","30","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","128","765.448","1876835217","1805346605","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.175000000000003","1.3416666666666666"
"49","Hawk-Dove","2000","200","40","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","149","797.561","2013156172","-1563826039","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","6.666666666666669","1.8"
"47","Hawk-Dove","2000","200","20","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","181","799.182","-2035371725","1301848216","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.6153125","0.86375"
"50","Hawk-Dove","2000","200","50","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","89","11312.129","-260392321","-211539522","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.233000000000001","2.2170000000000005"
"51","Hawk-Dove","2000","200","60","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","95","815.454","-1430811781","1492341263","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","7.8","2.7416666666666667"
"26","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","20","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","748","834.988","1701627281","1232983518","100","69","31","0","69","31","0","69","31","0","100","0.1","4.5","6.42","4.195"
"52","Hawk-Dove","2000","200","70","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","97","845.734","1067558807","-1527972572","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","8.452500000000004","3.1775"
"44","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","40","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","324","843.969","511811579","-2010496331","100","98","2","0","98","2","0","98","2","0","100","0.1","4.5","8.76125","3.6784375"
"46","Hawk-Dove","2000","200","10","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","308","852.68","1140462030","-1188482160","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","5.058055555555557","0.4775"
"53","Hawk-Dove","2000","200","80","true","Play-Initial-X-Y","100 at Initial-X/Y","50","0","Empty","10","10","10","10","true","0","false","0","10","10","0.1","10","10","1","3","0","5","1.5","40","20","true","By Mean Belief","false","false","true","false","0","0","122","869.532","2018082176","83218782","100","100","0","0","100","0","0","100","0","0","100","0.1","4.5","9.02125","3.5196875"
